Гном Призыватель,gnom_prizivatel_priziv,gnom_prizivatel_ataka,gnomprizivatelsmert,gnomprizivatel
Газрилла,gazrila_priziv,gazrila_ataka,gazrilasmert,gazrilaphoto
Газлоу,gazlou_priziv,gazlou_ataka,gazlousmert,gazloyp
Герои Штормграда,geroi_shtorma_priziv,geroi_shtorma_ataka,geroishtormasmert,geroishtorma
Глава Культа,glava_kulta_priziv,glava_kulta_ataka,glavakultasmert,glavakulta
Главарь Банды бесов,glavar_bandi_besov_priziv,glavar_bandi_besov_ataka,glavarbandibessmert,glavarbandibesov
Главарь Братства,glavar_bratstva_priziv,glavar_bratstva_ataka,glavarbratstvasmert,glavarbratstva
Гном-Изобретатель,gnom_izobretatel_priziv,gnom_izobretatel_ataka,gnomizobretatelsmert,gnomizobretatel
Вкусный Зомби,vkuszombi_priziv,vkuszombi_ataka,vkuszombismert,vkuszombi
Владыка Преисподней,vladika_preispodnei_priziv,vladika_preisp_ataka,vladikapreispodneismert,vladikapreispodnei
Владыка Смерти,vladika_smerti_priziv,vladika_smerti_ataka,vladikasmertismert,vladikasmertip
Владычица Бесов,vladichica_besov_priziv,vladichica_besov_ataka,vladichicabessmert,vladbesov
Властелин Паутины,vlastelin_pautini_priziv,vlastelin_pautini_ataka,vlastelinpautsmert,vlastelinpautini
Вожак Лютых Волков,vozhak_lut_volkov_priziv,vozhak_lut_volk_ataka,vozhaklutvolksmert,vozhaklytvolkov
Вождь Северного Волка,vozhd_severn_volka_priziv,severn_volki_ataka,vozhdsevernvolksmert,vozhdsevrnvolka
Волджин,voldzhin_ataka,voldzhin_priziv,voldzhinsmert,voldzhin
Вольный Элементаль,volni_elem_priziv,volni_elem_ataka,volnilemsmert,volnielem
Врагорез-4000,vragorez_priziv,vragorez_ataka,vragorezsmert,vragorazp
Всадник На Волке,vsadnik_na_volke_priziv,vsadnik_na_volke_ataka,vsadniknavolksmert,vsadniknavolke
Вулканический Дракон,vulkan_drakon_priziv,vulkan_drakon_ataka,vulkandrakonsmert,vulkandrakon
Вулканический Древень,vulkan_dreven_priziv,vulkan_dreven_ataka,vulkandrevosmert,vulkanpoleno
Высокогрив Саванны,visokogriv_savan_priziv,visokogriv_savannu_ataka,visokogrivsmert,visokogrivsavan
Взрывоопасная Овца,vzriv_ovca_priziv,vzriv_ovca_ataka,vzrivovcasmert,vzrivovca
Ветролет,vetrolet_priziv,vetrolet_ataka,vetroletsmert,vetrolet
Вестник Рока,vestnikroka_priziv,vestnik_roka_ataka,vestnikrokasmert,vestnikroka
Верховный Маг,verhovmagpriziv,verhovnimag_ataka,verhovmagsmert,verhmag
Вайширский Провидец,vayshir_providec_priziv,vayshir_providec_ataka,vayshirprovidecsmert,vaishirprovid
Вайширский Оракул,vayshiroracul_priziv,vayshir_ataka,vayshiroraclsmert,vaishiroracl
Бранящийся Сержант,branashi_priziv,branashi_ataka,branashismert,branashisserzh
Авантюрист,avanturist,avanturist_ataka,avantursmert,avanturist
Авто-Брадобрей,bradobrey,bradobre_ataka,bradobreismert,bradobrei
Агент ШРУ,shrupriziv,shruataka,shrusmert,shru
Ал'акир,alakir_priziv,alakir,alakirsmert,alakir,
Аманийский Берсерк,amanbers_priziv,amanbersataka,amanberssmert,amanbers
Анжинер Термоштепсель,termoshtepselpriziv,termoshtepataka,temroshtepsmert,termoshtepsel
Боец Северного Волка,boec_severn_volka_priziv,boec_ataka,boecsevernvolsmert,boecsevernvolka
Болвар Фордрагон,bolvar_priziv,bolvar_ataka,bolvarsmert,bolvarfordragon
Барон Геддон,gedon,gedon_ataka,gedonsmert,geddon
Алекстраза,alekstraza,aleksa_ataka,alekstrazasmert,alekstraz
Архимаг Антонидас,antondias,anton_ataka,antonsmert,anton
Алчный Наемник,alchniinaem,alch_ataka,alchninaemsmert,alchninaem
Алый Крестоносец,alikrestonospriziv,alikrestonoosec,alikrestsmert,aliukres
Блескотрон-3000,bleskotronpriziv,bleskotronataka,bleskotronsmert,bleskotron
Боевой Робот,boevoirobot_priziv,boevoirob_ataka,boevoirobotsmert
Аукенайская Жрица,aukenaikapriziv,aukenaykaatka,aukensmert,aukenaika
Барон Ривендер,baronrivenderpriziv,baronrivenderataka,baronrivendersmert,rivender
Безликий Манипулятор,bezlikipriziv,bezlikiataka,bezlikismert,bezliki
Безумный Алхимик,bezumalhimikpriziv,bezumalhimilataka,bezumnialhimiksmert,bezumnialhimik
Безумный Ученый,bezumuchenipriziv,bezumucheniataka,bezumuchenismert,bezucheni
Бересерк Гурубаши,bersgurubpriziv,bersguruataka,besrgurubashismert,bersgurubashi
Боевой Голем,boevoigolem_ataka,boevoigolem_priziv,boevoigolemsmert,boevoigolem
Бомбометатель,bombometatel_priziv,bombomet_ataka,bombometatelsmert,bombometatel
Ворген-Разведчик,vorgrazved,vorgrazvedaataka,vorgrazvedsmert,vorgenrazvedchik
Гелбин Меггакрут,gelbinpriziv,gelbinataka,gelbinsmert,gelbin
Воин Синежабрых,voinsinezhabrpriziv,sinezhabrataka,sinezhabrsmert,
Гном-Техник,gnomtehnikpriziv,gnomtehnikataka,gnomtehniksmert,gnomtehnik
Гном-Экспериментатор,gnomexperementpriziv,gnomexperementataka,gnoexperemensmert,gnomeksperement
Гоблин-Аукционист,goblinaukcionpriziv,goblinaukcionataka,gobliaukcionsmert,goblinauk
Гоблин-Взрывомаг,goblinvzrivomagpriziv,goblinvzrivomagataka,goblinvzrivomagsmert,goblinvzriv
Гоблин-Сапер,goblinsaperpriziv,goblinsaperataka,goblinsapersmert,goblinsaper
